fips,state,area_name,2013_urban_influence_code,percent_of_adults_with_a_high_school_diploma_only_1980,percent_of_adults_completing_some_college_or_associates_degree_2000,bachelors_degree_or_higher_2015_19,percent_of_adults_with_less_than_a_high_school_diploma_2015_19,percent_of_adults_with_a_high_school_diploma_only_2015_19,percent_of_adults_completing_some_college_or_associates_degree_2015_19,percent_of_adults_with_a_bachelors_degree_or_higher_2015_19
51153,VA,Prince William County,1.0,39.4,32.4,121316.0,11.523825645446776,20.02141571044922,27.347272872924805,41.10748672485352
51155,VA,Pulaski County,2.0,25.1,27.9,5126.0,12.561104774475098,33.193851470947266,34.19889831542969,20.046146392822266
51157,VA,Rappahannock County,1.0,25.9,23.0,1966.0,11.602109909057615,27.62320327758789,25.02273178100586,35.751953125
51159,VA,Richmond County,12.0,22.2,18.8,1232.0,19.360414505004883,35.36444854736328,27.52808952331543,17.747047424316406
51161,VA,Roanoke County,2.0,33.1,29.7,24021.0,7.667821407318115,25.01406478881836,31.753576278686523,35.564537048339844
51163,VA,Rockbridge County,6.0,27.2,19.9,4537.0,13.185585975646973,33.66645050048828,26.476985931396484,26.670978546142575
51165,VA,Rockingham County,2.0,30.9,19.4,14475.0,16.031381607055664,35.12086868286133,22.4989070892334,26.34884262084961
51167,VA,Russell County,9.0,24.2,20.8,2438.0,19.7440128326416,38.00310134887695,30.06349754333496,12.189390182495115
51169,VA,Scott County,2.0,25.9,19.8,2188.0,18.60238647460937,38.05088806152344,30.02800178527832,13.318723678588867
51171,VA,Shenandoah County,4.0,32.3,22.2,6353.0,12.969602584838867,37.94295501708984,28.5654296875,20.52201461791992
51173,VA,Smyth County,11.0,20.6,22.5,3292.0,16.658517837524414,37.721675872802734,30.98804473876953,14.63176155090332
51175,VA,Southampton County,4.0,18.0,25.0,2432.0,15.20472240447998,29.834253311157227,36.554908752441406,18.40611457824707
51177,VA,Spotsylvania County,1.0,31.4,29.4,28052.0,8.837272644042969,29.48171043395996,29.94331741333008,31.737699508666992
51179,VA,Stafford County,1.0,36.4,31.0,37498.0,6.771687030792236,22.866418838500977,30.449174880981445,39.9127197265625
51181,VA,Surry County,4.0,20.7,24.6,1021.0,15.024232864379885,36.227787017822266,28.13004875183105,20.6179313659668
51183,VA,Sussex County,1.0,20.8,14.4,1069.0,19.666467666625977,42.5014877319336,25.0982723236084,12.733770370483398
51185,VA,Tazewell County,8.0,25.7,24.0,4550.0,18.281475067138672,36.45792388916016,30.32690048217773,14.933700561523438
51187,VA,Warren County,1.0,33.9,22.8,5938.0,13.06223964691162,35.91384506225586,29.30958747863769,21.714326858520508
51191,VA,Washington County,2.0,22.4,25.0,9095.0,14.27389430999756,34.29445266723633,28.62802124023437,22.803630828857425
51193,VA,Westmoreland County,4.0,26.9,22.6,2537.0,15.48025131225586,33.818511962890625,31.468425750732425,19.232810974121094
51195,VA,Wise County,8.0,24.9,21.8,4124.0,24.08806800842285,29.65048599243164,31.27815818786621,14.98328685760498
