fips,2003_rural_urban_continuum_code,less_than_a_high_school_diploma_1970,percent_of_adults_with_less_than_a_high_school_diploma_1970
18017,4.0,10309.0,43.8
18019,1.0,21010.0,53.4
18021,3.0,7172.0,50.5
18023,6.0,8192.0,47.2
18025,8.0,3059.0,66.6
18027,7.0,7519.0,51.0
18029,1.0,8761.0,54.7
18031,6.0,6320.0,51.9
18033,4.0,7518.0,45.7
18035,3.0,30748.0,48.0
18037,7.0,9175.0,59.3
18039,3.0,31001.0,46.8
18041,7.0,7733.0,54.6
18043,1.0,17365.0,57.1
18045,6.0,4968.0,48.0
18047,1.0,5684.0,64.8
18049,7.0,4119.0,41.7
18051,2.0,8746.0,50.0
18053,4.0,21722.0,49.3
18055,3.0,8666.0,53.6
18057,1.0,10886.0,37.5
18059,1.0,7719.0,42.0
18061,1.0,6077.0,54.7
18063,1.0,10016.0,35.8
18065,4.0,15659.0,54.2
18067,3.0,18713.0,43.2
18069,6.0,7988.0,41.4
18071,4.0,9471.0,52.3
18073,1.0,4893.0,48.9
18075,6.0,6948.0,52.7
18077,6.0,7462.0,51.3
18079,6.0,5689.0,55.9
18081,1.0,13225.0,43.8
18083,4.0,11311.0,48.5
18085,4.0,10872.0,41.6
18087,6.0,5732.0,56.7
18089,1.0,144211.0,51.5
18091,3.0,29499.0,51.2
18093,4.0,12138.0,56.4
18095,3.0,35896.0,48.6
18097,1.0,187324.0,44.6
18099,6.0,8521.0,44.4
18101,6.0,3301.0,58.3
18103,6.0,8804.0,43.8
18105,3.0,12439.0,34.2
18107,6.0,7090.0,37.9
18109,1.0,11186.0,50.0
18111,1.0,2953.0,46.0
18113,6.0,7813.0,46.8
18115,1.0,1340.0,55.7
18117,6.0,5497.0,57.5
18119,3.0,3957.0,56.6
18121,6.0,3933.0,45.9
18123,6.0,6205.0,61.4
18125,6.0,4314.0,57.9
18127,1.0,16677.0,39.5
18129,2.0,6105.0,51.2
18131,6.0,3468.0,50.0
18133,1.0,6397.0,45.1
18135,6.0,7860.0,48.5
18137,6.0,6450.0,56.3
18139,6.0,5431.0,49.5
18141,2.0,60275.0,46.0
18143,6.0,5379.0,61.4
18145,1.0,10163.0,50.0
18147,8.0,5299.0,56.9
18149,6.0,5971.0,57.8
18151,7.0,3942.0,37.1
18153,3.0,6380.0,52.6
18155,8.0,2453.0,65.5
18157,3.0,16262.0,32.3
18159,3.0,4227.0,45.7
18161,8.0,1768.0,49.4
18163,2.0,44379.0,46.7
18165,3.0,5732.0,56.7
18167,3.0,29461.0,48.2
18169,6.0,8016.0,42.7
18171,8.0,2437.0,50.2
